id,a,b,c,t
0,18.86322046,16.66562678,-0.121765124,1
1,9.385509382,3.389762924,-0.353226213,1
2,3.288711872,-2.986273965,0.435278743,0
3,2.99963747,-0.406184498,0.552262637,0
4,-3.181810076,8.763935663,-0.981942235,1
5,2.150590458,11.64163392,-0.998687917,1
6,-11.96587934,-16.30575152,1.610044421,1
7,-2.563598202,0.795954728,-0.602011959,0
8,-13.31953484,-6.59668525,-1.795617819,1
9,3.262083107,6.655943332,-0.014871901,0
10,0.79101184,4.288510121,-1.093802126,0
11,8.889598174,-4.437928687,-0.349249498,0
12,9.441546892,-19.48392528,0.132729815,1
13,0.121669689,15.91827906,2.093424275,1
14,-15.27445696,-0.235203868,1.942759495,1
15,4.358267378,-3.212964024,0.88027114,0
16,3.912154249,-7.656205583,-0.085073666,0
17,-6.926104626,5.1027659,0.350648558,0
18,2.552169335,6.116322397,0.604734057,0
19,-16.06582933,-21.16099223,-1.070496924,1
20,0.799134168,-21.37767235,-1.137777118,1
21,19.66975153,4.619219877,1.58476548,1
22,5.343445506,2.751787998,-0.021216872,0
23,3.708808217,-2.729039176,0.372281906,0
24,4.36479569,9.930101413,-0.347468427,1
25,3.821602787,-6.692655973,-0.790939024,0
26,10.6451801,1.986894173,-0.12457832,0
27,18.9439428,-11.89009854,-2.007929204,1
28,10.22393319,-1.000772969,0.22994597,1
29,18.26293,-15.28445534,-1.202469182,1
30,10.29700989,-3.228435398,0.132443003,0
31,-1.630922299,9.415163641,-0.329100448,1
32,-3.797756217,-5.471493974,0.072089535,0
33,-4.02451562,0.843298579,0.242467834,0
34,14.2747794,4.656836102,-0.358686216,1
35,-2.223066964,-2.821391926,0.355302543,0
36,-11.58996369,9.364383535,1.519642399,1
37,-6.593110882,-9.194336819,-0.156894566,1
38,-5.251215471,-15.44496649,1.665718751,1
39,3.804729447,3.983919958,0.802185009,0
40,2.842125228,2.576937029,-1.003751808,1
41,-3.049407697,3.959868806,-0.355568565,0
42,-16.36191551,8.449490662,0.949992477,1
43,-5.901590792,-7.205752175,-0.2495074,0
44,13.44655728,-18.44893362,-0.335764106,1
45,-9.453815719,2.326790983,0.113579001,0
46,-0.010775434,2.722263322,-0.596006917,0
47,-3.603929477,3.852238035,-0.853028516,0
48,15.641578,-15.83213872,0.547220879,1
49,0.335354452,2.774031092,0.15796928,0
50,5.276111031,2.404501376,-0.443311356,0
51,2.943626644,4.529837661,0.743206549,0
52,2.070530568,6.136826539,-0.664818308,0
53,2.353388022,0.180417388,0.425681031,0
54,3.319272045,3.00734001,-1.079479537,1
55,0.130642823,0.693154481,0.351489089,0
56,-5.644003581,2.34039577,0.18089754,0
57,-7.285507682,16.61074176,-0.895576154,1
58,0.924984565,-10.84655132,0.12940798,0
59,-2.128099882,-6.693582472,0.050877526,0
60,13.09261412,-20.00171642,0.559683421,1
61,6.031842199,-9.848461915,-2.035191343,1
62,-1.924123034,20.1532161,2.060226075,1
63,-18.59724443,-12.91579641,-2.127565611,1
64,-18.11363796,12.15265453,-0.054016692,1
65,11.21429047,4.346135164,-0.277466255,1
66,6.331642522,-5.904332865,0.075057967,0
67,11.11965716,1.521294307,1.154277253,1
68,-18.82046476,17.14718338,-2.048899557,1
69,18.05963402,-6.548608995,0.651181188,1
70,5.99475913,-7.380469801,-1.728682589,1
71,-9.159398,19.14236851,0.978208635,1
72,9.742046578,-20.11962407,-1.355055884,1
73,8.742400692,11.33233048,1.860949452,1
74,-4.282351434,-0.207874291,0.026527318,0
75,10.93924901,-0.701166982,-0.870522729,1
76,1.351133622,8.819252633,0.198773364,0
77,12.46050911,5.607738548,1.415968705,1
78,-5.143596867,-17.40983489,-1.899102532,1
79,2.859819287,-12.16066894,-0.959931767,1
80,19.92560825,-2.057151544,-1.830894505,1
81,-5.735527383,-6.306173165,-0.66216773,1
82,3.592842357,6.470875218,0.158325579,0
83,-3.818208058,-7.942375865,-0.574219067,0
84,-10.09382739,9.376756451,-1.392301857,1
85,7.603824686,12.82791254,0.966005024,1
86,21.19325796,-4.110893852,1.101125961,1
87,10.34581022,16.53323827,0.32061982,1
88,4.510709994,-15.08917329,-1.498404059,1
